id_operator,id_document,designation,item_code,ia_product,id_etablishment,conditioning_unit,quantity,unit_price_without_tax,item_discount
47,36037,HF basilic sac 100g KE,195823,basilic frais,264,SAC,3.0,1.9,0.0
47,36038,Ail pele 4G 1KX12 CN°,197940,ail pele,264,KG,1.0,6.55,0.0
47,36038,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,6.0,2.95,0.0
47,36038,HF menthe sac 100g MA,110061,menthe botte,264,SAC,1.0,1.9,0.0
47,36038,HF laurier botte nue 30g FR,110575,laurier,264,BOT,1.0,1.17,0.0
47,36038,HF romarin sac 100g MA,110660,romarin,264,SAC,1.0,1.9,0.0
47,36038,Fraise ronde film bq 500gX8 c1 BE,120450,fraise,264,BQT,2.0,5.73,0.0
47,36038,Celeri branche ~5K c1 ES,139003,celeri branche,264,KG,0.7,2.729,0.0
47,36038,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,6.0,2.95,0.0
47,36038,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
47,36038,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,2.0,6.555,0.0
47,36038,HF basilic sac 100g KE,195823,basilic frais,264,SAC,1.0,1.9,0.0
47,36038,HF basilic sac 100g KE,195823,basilic frais,264,SAC,9.0,1.9,0.0
47,36038,HF ciboulette sac 100g KE,197176,ciboulette botte,264,SAC,1.0,1.9,0.0
47,36038,Carotte 1KX12 c1 REG,265303,carotte,264,KG,1.0,2.1,0.0
47,36039,Puree goyave 1KX6 Ponthier°,102042,puree goyave,264,KG,1.0,7.41,0.0
47,36039,Puree mandarine s/sucre 1KX6 Ponthier°,133907,puree mandarine,264,KG,1.0,7.76,0.0
47,36039,Puree yuzu s/sucre 500gX6 Ponthier°,162064,puree yuzu,264,KG,0.5,39.5,0.0
47,36039,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,2.0,5.2,0.0
47,36039,Echalion 30/50 5K c1 FR,106139,echalion,264,KG,5.0,2.376,0.0
47,36039,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,3.0,2.95,0.0
47,36039,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,12.0,2.95,0.0
47,36039,Courgette 14/21 1KX10 c1 ES,107447,courgette,264,KG,3.0,1.853,0.0
47,36039,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,1.0,1.9,0.0
47,36039,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36039,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,30.0,1.15,0.0
47,36039,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,1.0,6.84,0.0
47,36039,Poivron vert 70/90 1KX5 c1 REG,149653,poivron vert entier,264,KG,2.0,4.1,0.0
47,36039,Aubergine 200/300 ft 1KX5 c1 REG,162885,aubergine entiere,264,KG,2.0,1.6,0.0
47,36039,Poivron rouge 80/100 1KX5 c1 REG,178967,poivron rouge entier,264,KG,3.0,3.813,0.0
47,36039,HF basilic sac 100g KE,195823,basilic frais,264,SAC,12.0,1.9,0.0
47,36039,HF basilic sac 100g KE,195823,basilic frais,264,SAC,1.0,1.9,0.0
47,36039,Aubergine 300/400 HVE plt 5K B&E c1 REG°,244337,aubergine entiere,264,KG,5.0,1.6,0.0
47,36039,Palourde japonaise el moyen 3K,101829,palourde,264,KG,3.0,10.9,0.0
47,36040,HF citronnelle sac 30g MA,187101,citronnelle,264,SAC,-2.0,1.52,0.0
47,36041,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,2.0,5.2,0.0
47,36041,HF menthe sac 100g MA,110061,menthe botte,264,SAC,3.0,1.9,0.0
47,36041,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,1.0,1.9,0.0
47,36041,Gingembre 5K BR,112593,gingembre,264,KG,0.5,7.2,0.0
47,36041,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36041,Fraise ronde film bq 500gX8 c1 BE,120450,fraise,264,BQT,2.0,5.73,0.0
47,36041,Courge butternut ~10K ~10P FR,138941,courge butternut,264,KG,1.06,2.349,0.0
47,36041,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
47,36041,HF citronnelle sac 30g MA,187101,citronnelle,264,SAC,2.0,1.52,0.0
47,36041,HF basilic sac 100g KE,195823,basilic frais,264,SAC,3.0,1.9,0.0
47,36041,HF basilic sac 100g KE,195823,basilic frais,264,SAC,8.0,1.9,0.0
47,36041,HF ciboulette sac 100g KE,197176,ciboulette botte,264,SAC,1.0,1.9,0.0
47,36041,Citron jaune 5 ~6K c1 ES,231042,citron jaune,264,KG,6.217,1.9,0.0
47,36042,Puree fraise 1KX6 Ponthier°,102389,puree fraise,264,KG,1.0,7.67,0.0
47,36042,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,2.0,5.2,0.0
47,36042,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,6.0,2.95,0.0
47,36042,Courgette 14/21 1KX10 c1 ES,107447,courgette,264,KG,3.0,2.377,0.0
47,36042,Courgette 14/21 1KX10 c1 ES,107447,courgette,264,KG,2.0,2.375,0.0
47,36042,HF menthe sac 100g MA,110061,menthe botte,264,SAC,3.0,1.9,0.0
47,36042,HF laurier botte nue 30g FR,110575,laurier,264,BOT,4.0,1.17,0.0
47,36042,HF romarin sac 100g MA,110660,romarin,264,SAC,1.0,1.9,0.0
47,36042,HF thym sac 100g MA,110720,thym entier,264,SAC,1.0,2.97,0.0
47,36042,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36042,Poivron vert 70/90 1KX5 c1 REG,149653,poivron vert entier,264,KG,3.0,4.097,0.0
47,36042,HF citronnelle sac 100g TH,150331,citronnelle,264,SAC,1.0,3.54,0.0
47,36042,"Citron lime ~4,5K c1 BR",151265,,264,KG,4.35,3.901,0.0
47,36042,Aubergine 200/300 ft 1KX5 c1 REG,162885,aubergine entiere,264,KG,3.0,1.6,0.0
47,36042,Aubergine 200/300 ft 1KX5 c1 REG,162885,aubergine entiere,264,KG,2.0,1.6,0.0
47,36042,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
47,36042,Poivron rouge 80/100 1KX5 c1 REG,178967,poivron rouge entier,264,KG,5.0,3.564,0.0
47,36042,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,2.0,6.555,0.0
47,36042,Courge butternut ~12K 12P REG,191993,courge butternut,264,KG,0.964,2.624,0.0
47,36042,HF basilic sac 100g KE,195823,basilic frais,264,SAC,1.0,1.9,0.0
47,36042,HF basilic sac 100g KE,195823,basilic frais,264,SAC,10.0,1.9,0.0
47,36042,HF ciboulette sac 100g KE,197176,ciboulette botte,264,SAC,1.0,1.9,0.0
47,36042,Fraise ronde plt 1K c1 REG,201596,fraise,264,KG,1.0,9.41,0.0
